@type|@id|name|place|is_in|@lat|@lon|population|sqkm
node|130037318|Մարալիկ|town|"Armenia, Shirak"|40.5801970|43.8745874|5380|
node|130037434|Գյումրի|city||40.7852085|43.8416095|121976|
node|130038029|Արթիկ|town|"Armenia, Շիրակ"|40.6198428|43.9707866|17400|
node|130039585|Ապարան|town|"Aragatsotn, Armenia, Asia"|40.5908411|44.3570829|6158|
node|130040361|Երևան|city|Armenia|40.1776121|44.5125849|1129300|
node|130042088|Վաղարշապատ|town|"Armenia, Armavir"|40.1627757|44.2931665|57600|
node|130042336|Արմավիր|town|"Armenia, Armavir"|40.1555485|44.0387565|33800|
node|150679750|Թալին|town|"Армения, Арагацотн"|40.3835706|43.8735939|4980|
node|208818390|Սևան|town|"Armenia, Gegharkunik"|40.5485209|44.9572430|23200|
node|208840062|Իջևան|town|"Armenia, Tavush"|40.8779943|45.1437542|20500|
node|208845055|Դիլիջան|town|"Armenia, Tavush"|40.7417183|44.8721946|18000|
node|208853190|Վանաձոր|town|"Lori, Armenia, Asia"|40.8111917|44.4851995|82200|
node|209727388|Բերդ|town|"Armenia, Tavush"|40.8837828|45.3923321|8500|
node|209739151|Սպիտակ|town|"Lori, Armenia, Asia"|40.8343352|44.2647711|18237|
node|209777766|Ալավերդի|town|"Armenia, Lori"|41.0981441|44.6460913|16400|
node|209793390|Ստեփանավան|town|"Stepanavan, Lori, Armenia, Asia"|41.0070785|44.3844167|16200|
node|209803279|Տաշիր|town|Tashir;Lori;Armenia;Asia|41.1231053|44.2858082|7500|
node|210063748|Հրազդան|town|"Armenia, Kotayk"|40.5196871|44.7500706|52800|
node|210065207|Չարենցավան|town|"Armenia, Kotayk"|40.4029877|44.6469349|25100|
node|210071730|Ծաղկա‎ձոր|town|"Armenia, Kotayk"|40.5335474|44.7201571|1620|
node|210085218|Եղվարդ|town|"Armenia, Kotayk"|40.3214049|44.4813889|10700|
node|210098272|Աբովյան|town|"Armenia, Kotayk"|40.2714761|44.6333951|60000|
node|210119692|Մարտունի|town|"Armenia, Gegharkunik"|40.1390406|45.3054735|11900|
node|210146870|Վարդենիս|town|"Armenia, Gegharkunik"|40.1845740|45.7269788|12700|
node|210172791|Ճամբարակ|village|"Armenia, Gegharkunik"|40.5977658|45.3532388|1115|
node|210178763|Եղեգնաձոր|town||39.7591317|45.3320458|7944|
node|210212587|Ջերմուկ|town|"Armenia, Vayots Dzor"|39.8388185|45.6712635|4628|
node|210222626|Սիսիան|town||39.5255959|46.0250590|14894|
node|210231290|Կապան|town|"Armenia, Syunik"|39.2075525|46.4048244|43190|
node|210260007|Ագարակ|town|"Armenia, Syunik"|38.8654085|46.1956970|4429|
node|210261629|Մեղրի|town|"Armenia, Syunik"|38.9013004|46.2459121|4580|
node|210281886|Քաջարան|town|"Armenia, Syunik"|39.1510636|46.1554210|7163|
node|210290488|Գորիս|town|"Armenia, Syunik"|39.5104569|46.3404961|20591|
node|210362834|Արտաշատ|town||39.9566633|44.5471007|22269|
node|406352141|Հաղպատ|village||41.0944192|44.7110560||
node|406352640|Սանահին|village||41.0877146|44.6662097||
node|442473731|Գոռավան|village|"Armenia, Asia"|39.9079461|44.7285025|2340|
node|467022105|Հաղարծին|village||40.7769402|44.9748715||
node|467022106|Թեղուտ|village||40.7789754|44.9403322||
node|467023280|Պտղավան|village|"Bagratashen, Tavush, Armenia, Asia"|41.2288466|44.8554762||
node|467023282|Հաղթանակ|village||41.2168832|44.9137867||
node|467023283|Զորական|village||41.2212243|44.9377166||
node|467023412|Կողբ|village||41.1825962|44.9756652||
node|467023413|Նոյեմբերյան|town||41.1719613|44.9965125|5530|
node|467023435|Ջուջևան|village||41.1293022|45.0117022||
node|467023436|Բաղանիս|village||41.1104219|45.0567961||
node|467023633|Ոսկեպար|village||41.0626210|45.0573156||
node|467023634|Կիրանց|village||41.0470629|45.0981768||
node|467024321|Սարիգյուղ|village||41.0336571|45.1448190||
node|467024322|Սևքար|village|"Armenia, Asia"|41.0183782|45.1443691||
node|467024323|Գանձաքար|village||40.8509931|45.1592343||
node|505744365|Տաթեվ|village||39.3840285|46.2436662|864|
node|590685125|Գեղարքունիք|village|"Armenia, Gegharkunik"|40.2483299|45.1455126||
node|885945793|Վազաշեն|village|"Aygehovit, Tavush, Armenia, Asia"|41.0028591|45.2887289||
node|891527815|Բագրատաշեն|village|"Bagratashen, Tavush, Armenia, Asia"|41.2429366|44.8182100||
node|891532273|Ճոճկան|village|"Chochkan, Lori, Armenia, Asia"|41.1801110|44.8332303|1890|
node|891556795|Դեբետավան|village|"Bagratashen, Tavush, Armenia, Asia"|41.2790033|44.8138326||
node|891749445|Մեծավան|village|Metsavan;Lori;Armenia;Asia|41.2000371|44.2289073|5895|
node|891806397|Դաշտադեմ|village|"Tashir, Lori, Armenia, Asia"|41.1396590|44.1745656|216|
node|891806400|Գետավան|village|"Urut, Stepanavan, Lori, Armenia, Asia"|41.0536317|44.3376439|84|
node|891806406|Սարատովկա|village|"Tashir, Lori, Armenia, Asia"|41.0767990|44.3096631|428|
node|891814902|Սվերդլով|village|"Urut, Stepanavan, Lori, Armenia, Asia"|41.0949130|44.3990987||
node|891837656|Ուռուտ|village|"Urut, Stepanavan, Lori, Armenia, Asia"|41.0684520|44.3956225|1197|
node|891862477|Արմանիս|village|"Stepanavan, Lori, Armenia, Asia"|41.0088291|44.3282735||
node|891874671|Միխայելովկա|village|"Lernahovit, Lori, Armenia, Asia"|41.1648604|44.2785810|840|
node|891875616|Պետրովկա|village|"Lernahovit, Lori, Armenia, Asia"|41.1691281|44.3127531|248|
node|891880781|Նորաշեն|village|"Norashen, Lori, Armenia, Asia"|41.1890252|44.3433087|1505|
node|891885941|Ձորամուտ|village|"Lernahovit, Lori, Armenia, Asia"|41.1981965|44.2880338|320|
node|891888967|Գոգավան|village|"Lernahovit, Lori, Armenia, Asia"|41.2061559|44.3192548|84|
node|894528468|Ջիլիզա|village|Alaverdi; Lori; Armenia; Asia|41.2286595|44.6259456||
node|923301729|Լեռնահովիտ|village||41.1610580|44.3707619|1524|
node|923363608|Ձյունաշող|village||41.1822495|44.1836510||
node|924561582|Բջնի|village||40.4594500|44.6486100|3000|
node|924561629|Զորավան|village||40.3537205|44.5232083||
node|924561765|Սոլակ|village||40.4636100|44.7086000||
node|924561816|Թեղենիկ|village||40.4238900|44.5755700||
node|924562160|Քարաշամբ|village||40.4069600|44.5759060||
node|924562404|Աղավնաձոր|village||40.5804992|44.6980413||
node|924562493|Արագյուղ|village||40.4019444|44.5406556||
node|924562501|Արզական|village||40.4465355|44.6063992||
node|924816089|Մարգահովիտ|village||40.7388404|44.6874900||
node|924816101|Ֆիոլետովո|village||40.7253667|44.7180352|750|
node|925354744|Կարենիս|village||40.3916600|44.6072100||
node|925354841|Նուռնուս|village||40.3579300|44.6059100||
node|925354860|Արզնի|village||40.2964841|44.5952192||
node|925355014|Արգել|village||40.3794300|44.5994500||
node|925355442|Նոր Հաճն|town||40.3006902|44.5803502||
node|925357016|Կապուտան|village||40.3241146|44.6968730||
node|925396300|Հացիկ|village||40.8471850|43.8741208||
node|925396516|Մարմաշեն|village||40.8369590|43.7789881||
node|925396987|Վահրամաբերդ|village||40.8621970|43.7546830||
node|925397116|Շիրակ|village||40.8384310|43.9141470||
node|925397186|Ջաջուռ|village||40.8511017|43.9531657||
node|925397240|Մայիսյան|village||40.8477182|43.8359156||
node|925397343|Ջրաշեն|village||40.7908329|44.1906777||
node|925397385|Շիրակամուտ|village||40.8522862|44.1610476||
node|925397618|Լուսաղբյուր|village||40.8608935|44.0347110||
node|925397665|Հովունի|village||40.8717690|43.7978963||
node|925967382|Կեչուտ|village||39.8047310|45.6700500|944|
node|928427643|Աշոտավան|village||39.4770368|45.9947360|589|
node|928427649|Բռնակոթ|village||39.4970430|45.9730860|1960|
node|928427651|Շաքի|village||39.5640050|45.9975400|1197|
node|928437707|Ախլաթյան|village||39.4428059|46.0376167|535|
node|928437708|Դաստակերտ|village||39.3795732|46.0270050|323|
node|928448431|Անգեղակոթ|village||39.5692234|45.9426083|1582|
node|928462017|Աղիտու|village||39.5179144|46.0818131|436|
node|928462020|Որոտան|village||39.4886740|46.1415400||
node|928462026|Հարժիս|village||39.4335672|46.2225101|879|
node|928462047|Դարբաս|village||39.4405634|46.1228886|556|
node|928462056|Վաղատին|village||39.5044930|46.1183673|593|
node|928462064|Նորավան|village||39.5232125|46.0906585|485|
node|928469913|Քարաշեն|village||39.5398558|46.4209024|550|
node|928469918|Հարթաշեն|village||39.4856080|46.3813650|717|
node|928469924|Շինուհայր|village||39.4347254|46.3159899|2661|
node|928469927|Խնձորեսկ|village|"Armenia, Asia"|39.5123310|46.4336400|2070|
node|928469932|Քարահունջ|village||39.4790680|46.3588550|1365|
node|928469936|Խոտ|village||39.4444300|46.3365610|942|
node|928469939|Հալիձոր|village||39.4128447|46.2949370|551|
node|928469942|Ներքին Խնձորեսկ|village||39.4941293|46.5029200|276|
node|928504613|Վերին Խոտանան|village||39.3103320|46.3742820||
node|928504641|Ըրկենանց|village||39.2779290|46.4579980||
node|928504654|Բարաբաթում|village|"Armenia, Syunik"|39.2120569|46.4166966||
node|928504670|Տավրուս|village||39.2986330|46.3589670||
node|928504677|Արծվանիկ|village||39.2616990|46.4735420|625|
node|928504688|Դավիթ Բեկ|village||39.3199048|46.4950960|796|
node|928504712|Սյունիք|village||39.2034777|46.4690611|791|
node|928504747|Շահումյան|village|"Armenia, Syunik"|39.2147890|46.4315480||
node|928517004|Վանք|village||39.0481460|46.2510600||
node|928517006|Լեհվազ|village||38.9395900|46.2150800|571|
node|933823630|Բավրա|village||41.1205631|43.8087013|538|
node|933844741|Սարագյուղ|village||41.1442191|43.8379487|192|
node|933865125|Թավշուտ|village||41.0862351|43.8055633|370|
node|933865130|Սիզավետ|village||41.1018316|43.8358853|318|
node|933865136|Ղազանչի|village||41.0722861|43.8398684|571|
node|933874608|Աղվորիկ|village||41.0774116|43.7619358|90|
node|933882480|Արդենիս|village||41.0773970|43.7223657|132|
node|933882481|Զորակերտ|village||41.0909828|43.6602243|152|
node|934788125|Սարչապետ|town||41.1951369|44.3857212|6553|
node|934788127|Ապավեն|village||41.2155427|44.3548223|128|
node|934788130|Արծնի|village||41.2138640|44.3690702||
node|955155908|Զանգակատուն|village||39.8191849|45.0416277|1042|
node|955219312|Արարատ|town||39.8553423|44.6945826|20235|
node|955219406|Արարատ|village||39.8314253|44.7040661|7609|
