@type|@id|name|place|@lat|@lon|population|sqkm
node|249399277|Հայաստան|country|40.7696272|44.6736646|2968586|29743
node|1883945002|Լոռի|state|41.0072710|44.4900113||
node|1884053539|Արագածոտն|state|40.3827655|44.1147270||
node|1884053540|Արարատ|state|40.0053589|44.7315157||
node|1884053541|Արմավիր|state|40.1158531|43.9365414||
node|1884053542|Գեղարքունիք|state|40.3030726|45.3757390||
node|1884053544|Շիրակ|state|40.9185940|43.8403536||
node|1884053545|Սյունիք|state|39.3281408|46.1530296||
node|1884053546|Տավուշ|state|40.8275136|45.1847828||
node|1884053547|Վայոց Ձոր|state|39.8019849|45.4557591||
node|2291231926|Կոտայք|state|40.2803175|44.6545793||
