province,region,search_region,region_lat,region_lng
ԵՐԵՎԱՆ,ԱՎԱՆ,"ԵՐԵՎԱՆ,ԱՎԱՆ",40.3351948,44.1685681
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ",40.1434254,44.5336231
ԵՐԵՎԱՆ,ՆՈՒԲԱՐԱՇԵՆ,"ԵՐԵՎԱՆ,ՆՈՒԲԱՐԱՇԵՆ",40.09212435,44.5523035179168
ԱՐԱՐԱՏ,ՄԱՍԻՍ,"ԱՐԱՐԱՏ,ՄԱՍԻՍ",40.0617279,44.4427915
ԱՐԱՐԱՏ,ԱԲՈՎՅԱՆ,"ԱՐԱՐԱՏ,ԱԲՈՎՅԱՆ",40.0481052,44.5493838
ԱՐԱՐԱՏ,ԱԶԱՏԱՇԵՆ,"ԱՐԱՐԱՏ,ԱԶԱՏԱՇԵՆ",40.1345124,44.4145917
ԱՐԱՐԱՏ,ԱՅՆԹԱՊ,"ԱՐԱՐԱՏ,ԱՅՆԹԱՊ",40.0940199,44.4686556499227
ԱՐԱՐԱՏ,ԱՐԲԱԹ,"ԱՐԱՐԱՏ,ԱՐԲԱԹ",40.1393001,44.4008663
ԱՐԱՐԱՏ,ԱՐԳԱՎԱՆԴ,"ԱՐԱՐԱՏ,ԱՐԳԱՎԱՆԴ",40.547421,44.958809
ԱՐԱՐԱՏ,ԱՐԵՎԱԲՈՒՅՐ,"ԱՐԱՐԱՏ,ԱՐԵՎԱԲՈՒՅՐ",40.0404902,44.4623667
ԱՐԱՐԱՏ,ԱՐԵՎՇԱՏ,"ԱՐԱՐԱՏ,ԱՐԵՎՇԱՏ",40.0404827,44.5429479
ԱՐԱՐԱՏ,ԲԱՐՁՐԱՇԵՆ,"ԱՐԱՐԱՏ,ԲԱՐՁՐԱՇԵՆ",40.0862516,44.5806956
ԱՐԱՐԱՏ,ԳԵՏԱԶԱՏ,"ԱՐԱՐԱՏ,ԳԵՏԱԶԱՏ",40.0375276,44.5656694
ԱՐԱՐԱՏ,ԳԵՏԱՓՆՅԱ,"ԱՐԱՐԱՏ,ԳԵՏԱՓՆՅԱ",40.1407293,44.4315433
ԱՐԱՐԱՏ,ԳԵՂԱՆԻՍՏ,"ԱՐԱՐԱՏ,ԳԵՂԱՆԻՍՏ",40.1461475,44.4281943
ԱՐԱՐԱՏ,ԴԱՇՏԱՎԱՆ,"ԱՐԱՐԱՏ,ԴԱՇՏԱՎԱՆ",40.1004444,44.391382
ԱՐԱՐԱՏ,ԴԱՐԱԿԵՐՏ,"ԱՐԱՐԱՏ,ԴԱՐԱԿԵՐՏ",40.1063063,44.4133255
ԱՐԱՐԱՏ,ԴԱՐԲՆԻԿ,"ԱՐԱՐԱՏ,ԴԱՐԲՆԻԿ",40.1086818,44.3795395
ԱՐԱՐԱՏ,ԶՈՐԱԿ,"ԱՐԱՐԱՏ,ԶՈՐԱԿ",40.0917473,44.3935417
ԱՐԱՐԱՏ,ԼԱՆՋԱԶԱՏ,"ԱՐԱՐԱՏ,ԼԱՆՋԱԶԱՏ",40.0613346,44.5770532
ԱՐԱՐԱՏ,ԽԱՉՓԱՐ,"ԱՐԱՐԱՏ,ԽԱՉՓԱՐ",40.1237473,44.4013813
ԱՐԱՐԱՏ,ՀԱՅԱՆԻՍՏ,"ԱՐԱՐԱՏ,ՀԱՅԱՆԻՍՏ",40.12174,44.3726711
ԱՐԱՐԱՏ,ՀՈՎՏԱՇԱՏ,"ԱՐԱՐԱՏ,ՀՈՎՏԱՇԱՏ",40.1032032,44.3443913
ԱՐԱՐԱՏ,ՂՈՒԿԱՍԱՎԱՆ,"ԱՐԱՐԱՏ,ՂՈՒԿԱՍԱՎԱՆ",40.127355,44.4189085
ԱՐԱՐԱՏ,ՄԱՐՄԱՐԱՇԵՆ,"ԱՐԱՐԱՏ,ՄԱՐՄԱՐԱՇԵՆ",40.0576593,44.4711542
ԱՐԱՐԱՏ,ՄՐԳԱՆՈՒՇ,"ԱՐԱՐԱՏ,ՄՐԳԱՆՈՒՇ",40.0267785,44.5582382
ԱՐԱՐԱՏ,ՆՈՐԱԲԱՑ,"ԱՐԱՐԱՏ,ՆՈՐԱԲԱՑ",40.1065098,44.4320152
ԱՐԱՐԱՏ,ՆՈՐԱՄԱՐԳ,"ԱՐԱՐԱՏ,ՆՈՐԱՄԱՐԳ",40.0226354,44.4235394
ԱՐԱՐԱՏ,ՆՈՐ ԽԱՐԲԵՐԴ,"ԱՐԱՐԱՏ,ՆՈՐ ԽԱՐԲԵՐԴ",40.0896697,44.4792319
ԱՐԱՐԱՏ,ՆՈՐ ԿՅՈՒՐԻՆ,"ԱՐԱՐԱՏ,ՆՈՐ ԿՅՈՒՐԻՆ",40.0746111,44.4978607
ԱՐԱՐԱՏ,ՆԻԶԱՄԻ,"ԱՐԱՐԱՏ,ՆԻԶԱՄԻ",40.0918433,44.4039562
ԱՐԱՐԱՏ,ՋՐԱՀՈՎԻՏ,"ԱՐԱՐԱՏ,ՋՐԱՀՈՎԻՏ",40.0435501,44.4721412
ԱՐԱՐԱՏ,ՋՐԱՇԵՆ,"ԱՐԱՐԱՏ,ՋՐԱՇԵՆ",40.0544374,44.5134176
ԱՐԱՐԱՏ,ՌԱՆՉՊԱՐ,"ԱՐԱՐԱՏ,ՌԱՆՉՊԱՐ",40.0275062,44.3670246
ԱՐԱՐԱՏ,ՍԱՅԱԹ-ՆՈՎԱ,"ԱՐԱՐԱՏ,ՍԱՅԱԹ-ՆՈՎԱ",40.0735565,44.3990564
ԱՐԱՐԱՏ,ՍԻՍ,"ԱՐԱՐԱՏ,ՍԻՍ",40.0593987,44.3827561
ԱՐԱՐԱՏ,ՍԻՓԱՆԻԿ,"ԱՐԱՐԱՏ,ՍԻՓԱՆԻԿ",40.0818862,44.3585498
ԱՐԱՐԱՏ,ՎԱՐԴԱՇԵՆ,"ԱՐԱՐԱՏ,ՎԱՐԴԱՇԵՆ",40.0312485,44.5603936587368
ԱՐԱՐԱՏ,ԱՐՏԱՇԱՏ,"ԱՐԱՐԱՏ,ԱՐՏԱՇԱՏ",39.87385825,44.56611315
ԱՐԱՐԱՏ,ԱՐԱՔՍԱՎԱՆ,"ԱՐԱՐԱՏ,ԱՐԱՔՍԱՎԱՆ",39.9998413,44.4686863
ԱՐԱՐԱՏ,ԱԶԱՏԱՎԱՆ,"ԱՐԱՐԱՏ,ԱԶԱՏԱՎԱՆ",39.9846713,44.5057493
ԱՐԱՐԱՏ,ԱՅԳԵՍՏԱՆ,"ԱՐԱՐԱՏ,ԱՅԳԵՍՏԱՆ",40.0027075,44.5581893
ԱՐԱՐԱՏ,ԱՅԳԵՊԱՏ,"ԱՐԱՐԱՏ,ԱՅԳԵՊԱՏ",39.9548795,44.5889099
ԱՐԱՐԱՏ,ԲՅՈՒՐԱՎԱՆ,"ԱՐԱՐԱՏ,ԲՅՈՒՐԱՎԱՆ",40.0167922,44.5187082734418
ԱՐԱՐԱՏ,ԲԱՂՐԱՄՅԱՆ,"ԱՐԱՐԱՏ,ԲԱՂՐԱՄՅԱՆ",39.980836,44.513339
ԱՐԱՐԱՏ,ԲԵՐԴԻԿ,"ԱՐԱՐԱՏ,ԲԵՐԴԻԿ",39.994428,44.5701888
ԱՐԱՐԱՏ,ԲԵՐՔԱՆՈՒՇ,"ԱՐԱՐԱՏ,ԲԵՐՔԱՆՈՒՇ",39.9749246,44.5224287
ԱՐԱՐԱՏ,ԲՈՒՐԱՍՏԱՆ,"ԱՐԱՐԱՏ,ԲՈՒՐԱՍՏԱՆ",39.9903094,44.4981789
ԱՐԱՐԱՏ,ԴԱԼԱՐ,"ԱՐԱՐԱՏ,ԴԱԼԱՐ",39.9719448,44.5255541
ԱՐԱՐԱՏ,ԴԵՂՁՈՒՏ,"ԱՐԱՐԱՏ,ԴԵՂՁՈՒՏ",40.0259726,44.5490898
ԱՐԱՐԱՏ,ԴԻՏԱԿ,"ԱՐԱՐԱՏ,ԴԻՏԱԿ",40.04557515,44.5189521615715
ԱՐԱՐԱՏ,ԴԻՄԻՏՐՈՎ,"ԱՐԱՐԱՏ,ԴԻՄԻՏՐՈՎ",40.0062163,44.490425
ԱՐԱՐԱՏ,ՀՈՎՏԱՇԵՆ,"ԱՐԱՐԱՏ,ՀՈՎՏԱՇԵՆ",40.0240494,44.4529804
ԱՐԱՐԱՏ,ՆՇԱՎԱՆ,"ԱՐԱՐԱՏ,ՆՇԱՎԱՆ",40.0261707,44.5254575
ԱՐԱՐԱՏ,ՆԱՐԵԿ,"ԱՐԱՐԱՏ,ՆԱՐԵԿ",39.9987558,44.6645858
ԱՐԱՐԱՏ,ՆՈՐԱՇԵՆ,"ԱՐԱՐԱՏ,ՆՈՐԱՇԵՆ",40.0030835,44.59826
ԱՐԱՐԱՏ,ՇԱՀՈՒՄՅԱՆ,"ԱՐԱՐԱՏ,ՇԱՀՈՒՄՅԱՆ",39.9382859,44.5734304
ԱՐԱՐԱՏ,ՎԵՐԻՆ ԱՐՏԱՇԱՏ,"ԱՐԱՐԱՏ,ՎԵՐԻՆ ԱՐՏԱՇԱՏ",39.9976593,44.5844457
ԱՐԱՐԱՏ,ԿԱՆԱՉՈՒՏ,"ԱՐԱՐԱՏ,ԿԱՆԱՉՈՒՏ",40.0076553,44.544605
ԱՐԱՐԱՏ,ՄԽՉՅԱՆ,"ԱՐԱՐԱՏ,ՄԽՉՅԱՆ",40.0207949,44.4887355
ԱՐԱՐԱՏ,ՄՐԳԱՎԵՏ,"ԱՐԱՐԱՏ,ՄՐԳԱՎԵՏ",40.0289447,44.4813042
ԱՐԱՐԱՏ,ՄՐԳԱՎԱՆ,"ԱՐԱՐԱՏ,ՄՐԳԱՎԱՆ",39.9725865,44.5347609
